id,order_id,payment_method,amount
1,1,credit_card,800
2,2,credit_card,1000
3,3,credit_card,1000
4,4,credit_card,100
5,5,credit_card,100
6,6,credit_card,500
7,7,bank_transfer,1200
8,8,credit_card,200
9,9,credit_card,600
10,10,credit_card,500
11,10,bank_transfer,500
12,11,bank_transfer,600
13,12,bank_transfer,400
14,13,coupon,0
15,14,bank_transfer,400
16,15,credit_card,1200
17,16,coupon,1000
18,17,bank_transfer,100
19,18,bank_transfer,100
20,19,credit_card,400
21,20,coupon,500
22,21,bank_transfer,500
23,22,coupon,2000
24,23,coupon,100
25,24,credit_card,2600
26,25,credit_card,300
27,26,credit_card,500
28,27,credit_card,1000
29,28,credit_card,100
30,29,credit_card,900
31,30,credit_card,2000
32,31,bank_transfer,500
33,31,credit_card,500
34,32,coupon,2600
35,33,bank_transfer,0
36,34,gift_card,1200
37,35,coupon,300
38,36,bank_transfer,0
39,37,bank_transfer,1200
40,38,gift_card,100
41,39,bank_transfer,1000
42,40,credit_card,750
43,40,credit_card,750
44,41,bank_transfer,500
45,42,coupon,500
46,42,credit_card,500
47,43,credit_card,300
48,44,credit_card,1000
49,45,credit_card,1200
50,46,credit_card,300
51,47,credit_card,200
52,47,credit_card,200
53,48,credit_card,700
54,49,credit_card,700
55,50,bank_transfer,1000
56,51,bank_transfer,600
57,52,credit_card,600
58,53,coupon,900
59,54,coupon,300
60,54,bank_transfer,300
61,55,bank_transfer,0
62,56,coupon,400
63,56,bank_transfer,400
64,57,credit_card,200
65,58,coupon,3000
66,59,coupon,900
67,60,bank_transfer,750
68,60,bank_transfer,750
69,61,bank_transfer,400
70,62,coupon,1200
71,62,credit_card,1200
72,63,bank_transfer,250
73,63,credit_card,250
74,64,bank_transfer,600
75,65,bank_transfer,700
76,66,credit_card,150
77,66,credit_card,150
78,67,credit_card,200
79,68,gift_card,200
80,69,credit_card,1000
81,70,credit_card,900
82,71,coupon,800
83,72,coupon,150
84,72,gift_card,150
85,73,coupon,2600
86,74,credit_card,300
87,75,credit_card,1000
88,76,credit_card,400
89,77,credit_card,2000
90,78,credit_card,300
91,79,credit_card,0
92,80,coupon,1000
93,80,credit_card,1000
94,81,credit_card,600
95,82,credit_card,1500
96,83,credit_card,1700
97,84,credit_card,2600
98,85,credit_card,1000
99,86,coupon,200
100,87,credit_card,800
101,88,credit_card,1500
102,89,credit_card,300
103,90,credit_card,100
104,91,credit_card,1000
105,92,credit_card,1200
106,93,bank_transfer,400
107,94,credit_card,300
108,94,credit_card,300
109,95,bank_transfer,0
110,96,credit_card,600
111,97,bank_transfer,1000
112,98,credit_card,700
113,99,gift_card,800
